rep,method,learner,orcl,orcl_neigh,fs_specification,kernel,coef_Conventional,coef_Bias-Corrected,coef_Robust,se_Conventional,se_Bias-Corrected,se_Robust,lower_ci_Conventional,lower_ci_Bias-Corrected,lower_ci_Robust,upper_ci_Conventional,upper_ci_Bias-Corrected,upper_ci_Robust,CI width_Conventional,Coverage_Conventional,centered coef_Conventional,CI width_Bias-Corrected,Coverage_Bias-Corrected,centered coef_Bias-Corrected,CI width_Robust,Coverage_Robust,centered coef_Robust
0,rdrobust,linear,0.06667264405348179,0.0660287081339713,cutoff,triangular,0.0654845528577908,0.07115626178390572,0.07115626178390572,0.011225967624544001,0.011225967624544001,0.012459565362517562,0.04348206062207189,0.04915376954818681,0.04673596241034855,0.08748704509350971,0.09315875401962462,0.09557656115746288,0.04400498447143782,True,-0.0011880911956909934,0.04400498447143781,True,0.004483617730423925,0.04884059874711433,True,0.004483617730423925
0,rdflex,linear,0.06667264405348179,0.0660287081339713,cutoff,triangular,0.06664073354390262,0.0725372314262488,0.0725372314262488,0.012887193636936006,0.012887193636936006,0.012887193636936006,0.04381664220007794,0.04971314008242411,0.04727879603606047,0.0894648248877273,0.09536132277007348,0.09779566681643712,0.045648182687649363,True,-3.1910509579166635e-05,0.045648182687649363,True,0.005864587372767002,0.050516870780376644,True,0.005864587372767002
0,rdflex,global_linear,0.06667264405348179,0.0660287081339713,cutoff,triangular,0.06290581649348555,0.068458061430761,0.068458061430761,0.013080830510995999,0.013080830510995999,0.013080830510995999,0.03992222484293788,0.04547446978021333,0.04282010474133617,0.08588940814403322,0.09144165308130867,0.09409601812018582,0.04596718330109534,True,-0.003766827559996244,0.04596718330109534,True,0.0017854173772792054,0.05127591337884965,True,0.0017854173772792054
0,rdflex,lgbm,0.06667264405348179,0.0660287081339713,cutoff,triangular,0.06343174570582934,0.06869604784993275,0.06869604784993275,0.01501405954456994,0.01501405954456994,0.01501405954456994,0.03684537907658364,0.04210968122068705,0.03926903188083582,0.09001811233507503,0.09528241447917844,0.09812306381902967,0.053172733258491395,True,-0.0032408983476524544,0.053172733258491395,True,0.002023403796450954,0.05885403193819386,True,0.002023403796450954
0,rdflex,stacking_regressor,0.06667264405348179,0.0660287081339713,cutoff,triangular,0.06989288787367684,0.07583202408703131,0.07583202408703131,0.014872776880573873,0.014872776880573873,0.014872776880573873,0.04346405185957024,0.04940318807292471,0.04668191705100655,0.09632172388778344,0.10226086010113791,0.10498213112305607,0.052857672028213204,True,0.0032202438201950484,0.052857672028213204,True,0.009159380033549519,0.05830021407204952,True,0.009159380033549519
1,rdrobust,linear,0.06667264405348179,0.0660287081339713,cutoff,triangular,0.06687316041853847,0.06799641144546247,0.06799641144546247,0.00917005587245961,0.00917005587245961,0.010975245392631167,0.04890018117229761,0.050023432199221604,0.04648532575441622,0.08484613966477933,0.08596939069170333,0.08950749713650871,0.03594595849248172,True,0.00020051636505667714,0.03594595849248172,True,0.0013237673919806736,0.043022171382092494,True,0.0013237673919806736
1,rdflex,linear,0.06667264405348179,0.0660287081339713,cutoff,triangular,0.067095001669448,0.0685020743775176,0.0685020743775176,0.01123397471040259,0.01123397471040259,0.01123397471040259,0.04874759969172985,0.05015467239979945,0.04648388854189474,0.08544240364716615,0.08684947635523574,0.09052026021314045,0.036694803955436305,True,0.0004223576159662068,0.03669480395543629,True,0.001829430324035805,0.044036371671245716,True,0.001829430324035805
1,rdflex,global_linear,0.06667264405348179,0.0660287081339713,cutoff,triangular,0.06581089943613656,0.06628156967646799,0.06628156967646799,0.011138886236302346,0.011138886236302346,0.011138886236302346,0.04765432907944667,0.048124999319778095,0.04444975382542648,0.08396746979282646,0.08443814003315789,0.0881133855275095,0.03631314071337979,True,-0.0008617446173452281,0.03631314071337979,True,-0.0003910743770138003,0.04366363170208302,True,-0.0003910743770138003
1,rdflex,lgbm,0.06667264405348179,0.0660287081339713,cutoff,triangular,0.05964051717775244,0.06418102007381236,0.06418102007381236,0.014006117091472035,0.014006117091472035,0.014006117091472035,0.0349891689069272,0.039529671802987124,0.03672953501127628,0.08429186544857768,0.0888323683446376,0.09163250513634845,0.04930269654165048,True,-0.00703212687572935,0.04930269654165048,True,-0.0024916239796694273,0.05490297012507217,True,-0.0024916239796694273
1,rdflex,stacking_regressor,0.06667264405348179,0.0660287081339713,cutoff,triangular,0.06590390780728082,0.0689925378507383,0.0689925378507383,0.015077715939366031,0.015077715939366031,0.015077715939366031,0.039306766498184945,0.04239539654164243,0.039440757640455376,0.0925010491163767,0.09558967915983418,0.09854431806102124,0.05319428261819176,True,-0.0007687362462009684,0.05319428261819176,True,0.0023198937972565142,0.05910356042056586,True,0.0023198937972565142
2,rdrobust,linear,0.06667264405348179,0.0660287081339713,cutoff,triangular,0.05934337561629301,0.05851518268286178,0.05851518268286178,0.008147664845436116,0.008147664845436116,0.009730204470564233,0.04337424596113512,0.04254605302770389,0.039444332358345255,0.0753125052714509,0.07448431233801966,0.0775860330073783,0.031938259310315784,True,-0.007329268437188778,0.03193825931031578,True,-0.008157461370620012,0.03814170064903305,True,-0.008157461370620012
2,rdflex,linear,0.06667264405348179,0.0660287081339713,cutoff,triangular,0.05844790378039075,0.05729776543726739,0.05729776543726739,0.009850043381749735,0.009850043381749735,0.009850043381749735,0.04228020040948724,0.04113006206636388,0.037992035162880786,0.07461560715129426,0.0734654688081709,0.076603495711654,0.032335406741807016,True,-0.008224740273091044,0.032335406741807016,True,-0.009374878616214402,0.03861146054877321,True,-0.009374878616214402
