setting,method,duration,error,coef_conventional,coef_robust,coef_bias_corrected,se_conventional,se_robust,se_bias_corrected,ci_0025_conventional,ci_0975_conventional,ci_0025_robust,ci_0975_robust,ci_0025_bias_corrected,ci_0975_bias_corrected,rep,rep_seed,setting_param_fuzzy,setting_data_remove_unexplained,setting_data_subrule,setting_data_score,setting_data_covariates
yieldimprovement_fuzzy_explained,rdrobustnocovs,0.3370697498321533,,-0.06282302110104433,-0.05586138955769744,-0.05586138955769744,0.005354480521629378,0.008760255429009125,0.005354480521629378,-0.07331761007935915,-0.05232843212272951,-0.07303117469392681,-0.03869160442146807,-0.06635597853601226,-0.04536680057938262,91,1334706736,True,True,False,yieldimprovement,[]
distance_fuzzy_explained,rdrobust,1.3500444889068604,,-0.07637554899311053,-0.0814842641568159,-0.0814842641568159,0.018907995965033505,0.02279900518163762,0.018907995965033505,-0.11343454010440486,-0.03931655788181619,-0.12616949319616771,-0.03679903511746409,-0.11854325526811023,-0.04442527304552156,27,4285362377,True,True,False,distance,[]
yieldimprovement_fuzzy_explained,rdflex_global_linear,1.4551517963409424,,-0.0785867070091138,-0.09118834368099776,-0.09118834368099776,0.005576798144288415,0.005576798144288415,0.009089867775122199,-0.0895170305209689,-0.06765638349725869,-0.10900415714446851,-0.07337253021752702,-0.10211866719285287,-0.08025802016914266,72,975584376,True,True,False,yieldimprovement,[]
distance_fuzzy_explained,oracle_kernel,0.8233702182769775,,-0.05199648397742873,,,,,,,,,,,,46,606924150,True,True,False,distance,[]
yieldimprovement_fuzzy_explained,rdrobust,1.923074722290039,,-0.06733619837697354,-0.06588935199819779,-0.06588935199819779,0.006557268295441863,0.011250782681216693,0.006557268295441863,-0.08018820807300593,-0.05448418868094113,-0.08794048085126949,-0.04383822314512609,-0.07874136169423018,-0.053037342302165384,62,3683793255,True,True,False,yieldimprovement,[]
yieldimprovement_intent2treat_explained_subrule,oracle_kernel,5.950497150421143,,-0.052995612323594496,,,,,,,,,,,,98,193035875,False,True,True,yieldimprovement,[]
boundarymindist_intent2treat_explained,rdrobustnocovs,0.15768146514892578,,-0.14799436844949654,-0.15362306768333955,-0.15362306768333955,0.02884116262644097,0.030568649979749712,0.02884116262644097,-0.20452200846958346,-0.09146672842940962,-0.21353652069966003,-0.09370961466701908,-0.21015070770342648,-0.09709542766325263,2,461025354,False,True,False,boundarymindist,[]
yieldimprovement_intent2treat_explained_subrule,rdflex_stacking_lgbm,0.0039479732513427734,Matrix is not positive definite,,,,,,,,,,,,,16,391085360,False,True,True,yieldimprovement,[]
yieldimprovement_intent2treat_explained,rdflex_local_linear,1.0419390201568604,,-0.04458201725443553,-0.037450549780046326,-0.037450549780046326,0.0037929371868821887,0.0037929371868821887,0.005801977977875657,-0.05201603753634729,-0.03714799697252377,-0.04882221765577714,-0.02607888190431551,-0.04488457006195808,-0.03001652949813457,38,2999304840,False,True,False,yieldimprovement,[]
boundarymindist_fuzzy_unexplained,rdflex_lgbm,5.845895051956177,,-0.1051890216911406,-0.1083575289047556,-0.1083575289047556,0.030394254813106456,0.030394254813106456,0.035860763837101066,-0.16476066646176243,-0.04561737692051875,-0.1786433344835701,-0.03807172332594111,-0.16792917367537744,-0.048785884134133754,2,461025354,True,False,False,boundarymindist,[]
boundarymindist_intent2treat_unexplained,oracle_kernel,26.392815589904785,,-0.07540442666447902,,,,,,,,,,,,3,691374161,False,False,False,boundarymindist,[]
distance_intent2treat_explained,rdrobustnocovs,0.15314674377441406,,-0.014081135447873594,-0.011182287160263815,-0.011182287160263815,0.007665442157341477,0.008614918676116504,0.007665442157341477,-0.029105126001837903,0.0009428551060907155,-0.028067217495193645,0.005702643174666015,-0.026206277714228125,0.003841703393700494,85,520597901,False,True,False,distance,[]
boundarymindist_intent2treat_explained,rdflex_global_linear,0.7505991458892822,,-0.07460016173274181,-0.0763812650549708,-0.0763812650549708,0.01460180257987495,0.01460180257987495,0.016230484187271178,-0.10321916889866076,-0.04598115456682286,-0.10819242951366916,-0.044570100596272436,-0.10500027222088974,-0.04776225788905185,38,2999304840,False,True,False,boundarymindist,[]
boundarymindist_intent2treat_explained,rdrobustnocovs,0.15542864799499512,,-0.059418319329224256,-0.058042284360807606,-0.058042284360807606,0.014734033383948237,0.01665123061254885,0.014734033383948237,-0.08829649410877362,-0.030540144549674894,-0.09067809665967418,-0.025406472061941035,-0.08692045914035697,-0.029164109581258243,74,3519764357,False,True,False,boundarymindist,[]
boundarymindist_intent2treat_unexplained,rdrobust,1.941345453262329,,-0.033785605845271176,-0.03511132412206877,-0.03511132412206877,0.007570689130446228,0.008513502698274104,0.007570689130446228,-0.048623883879094644,-0.018947327811447708,-0.051797482792970584,-0.018425165451166955,-0.04994960215589224,-0.020273046088245303,82,2879715912,False,False,False,boundarymindist,[]
boundarypoint,rdflex_global_linear,0.004197120666503906,Matrix is not positive definite,,,,,,,,,,,,,21,1091097415,True,True,False,boundarypoint,[]
yieldimprovement_intent2treat_explained,oracle_kernel,27.107197523117065,,-0.09098546186308547,,,,,,,,,,,,22,1572183024,False,True,False,yieldimprovement,[]
distance_intent2treat_explained_subrule,oracle_neighbour,3.552436828613281e-05,,-0.040386234705348745,,,,,,,,,,,,65,2429958661,False,True,True,distance,[]
boundarymindist_intent2treat_explained,rdrobustnocovs,0.1629619598388672,,-0.04189311103989246,-0.040506505649376634,-0.040506505649376634,0.014811125068475331,0.01642596438916097,0.014811125068475331,-0.07092238274462245,-0.01286383933516247,-0.0727008042634696,-0.008312207035283667,-0.06953577735410663,-0.011477233944646642,34,3216405119,False,True,False,boundarymindist,[]
boundarymindist_intent2treat_explained,rdflex_local_linear,0.8361384868621826,,-0.06356988728375448,-0.06194832788453837,-0.06194832788453837,0.014029025688594054,0.014029025688594054,0.016342059080213415,-0.09106627237158606,-0.03607350219592291,-0.09397817511498242,-0.029918480654094318,-0.08944471297236994,-0.0344519427967068,66,3474168509,False,True,False,boundarymindist,[]
yieldimprovement_intent2treat_explained_subrule,rdflex_stacking_lgbm,0.0036284923553466797,Matrix is not positive definite,,,,,,,,,,,,,95,1473388411,False,True,True,yieldimprovement,[]
distance_intent2treat_explained,rdflex_lgbm,2.8060686588287354,,-0.02594337301180454,-0.023732298482538813,-0.023732298482538813,0.007690490343517519,0.007690490343517519,0.008717125838265607,-0.041016457108551944,-0.010870288915057135,-0.04081755117424293,-0.006647045790834694,-0.038805382579286216,-0.00865921438579141,9,923168703,False,True,False,distance,[]
yieldimprovement_fuzzy_explained,oracle_kernel,26.10036611557007,,-0.08754017734176794,,,,,,,,,,,,70,1069158761,True,True,False,yieldimprovement,[]
distance_intent2treat_explained,rdrobust,1.471121072769165,,-0.04245422004747798,-0.04394928372911917,-0.04394928372911917,0.009020160347176962,0.010950751767449795,0.009020160347176962,-0.06013340946272114,-0.024775030632234827,-0.06541236279695911,-0.022486204661279235,-0.06162847314436233,-0.02627009431387602,2,461025354,False,True,False,distance,[]
distance_fuzzy_explained,oracle_kernel,0.7858376502990723,,-0.05825702462948367,,,,,,,,,,,,11,1657101622,True,True,False,distance,[]
boundarymindist_intent2treat_unexplained,oracle_kernel,22.966962575912476,,-0.06022633614925354,,,,,,,,,,,,83,2328904255,False,False,False,boundarymindist,[]
yieldimprovement_fuzzy_explained,rdrobustnocovs,0.33350229263305664,,-0.06330307794399238,-0.06429712850390427,-0.06429712850390427,0.0053840027225746144,0.008683395350088881,0.0053840027225746144,-0.07385552937290422,-0.05275062651508054,-0.08131627065360106,-0.04727798635420749,-0.07484957993281612,-0.053744677074992434,10,1959717888,True,True,False,yieldimprovement,[]
distance_intent2treat_explained,rdrobust,1.462228536605835,,-0.03839253335273382,-0.03878485593712896,-0.03878485593712896,0.008028709126625537,0.00959534094856928,0.008028709126625537,-0.05412851408326791,-0.022656552622199736,-0.057591378615707144,-0.019978333258550772,-0.05452083666766304,-0.023048875206594873,99,2365828300,False,True,False,distance,[]
yieldimprovement_intent2treat_explained,rdflex_stacking_lgbm,47.327186584472656,,-0.03620813187358124,-0.037506465533959435,-0.037506465533959435,0.0036956567751794452,0.0036956567751794452,0.006074413579595719,-0.04345148605215439,-0.028964777695008086,-0.04941209737716808,-0.025600833690750797,-0.044749819712532585,-0.03026311135538628,98,193035875,False,True,False,yieldimprovement,[]
yieldimprovement_fuzzy_explained,rdflex_local_linear,1.4509482383728027,,-0.07474694428235937,-0.07661370471006426,-0.07661370471006426,0.006015252461844622,0.006015252461844622,0.009114755615044517,-0.08653662246549072,-0.06295726609922801,-0.09447829744343575,-0.058749111976692775,-0.08840338289319562,-0.0648240265269329,53,1722995083,True,True,False,yieldimprovement,[]
boundarymindist_intent2treat_unexplained,rdrobust,1.7368032932281494,,-0.04601896091306302,-0.04971535271628719,-0.04971535271628719,0.011962950619899906,0.014996387873133359,0.011962950619899906,-0.06946591327689794,-0.02257200854922809,-0.07910773284582179,-0.020322972586752582,-0.07316230508012211,-0.02626840035245226,3,691374161,False,False,False,boundarymindist,[]
distance_intent2treat_explained_subrule,oracle_neighbour,3.3855438232421875e-05,,-0.04471260849324343,,,,,,,,,,,,90,4221424199,False,True,True,distance,[]
boundarymindist_intent2treat_unexplained,rdflex_stacking_lgbm,57.29089593887329,,-0.013005886786297006,-0.012144341994196051,-0.012144341994196051,0.0106375280680294,0.0106375280680294,0.012818413603351845,-0.03385505868416857,0.007843285111574559,-0.03726797099570396,0.012979287007311862,-0.032993513892067616,0.008704829903675514,98,193035875,False,False,False,boundarymindist,[]
distance_fuzzy_explained,oracle_neighbour,5.245208740234375e-05,,-0.11236181849351057,,,,,,,,,,,,45,2435261987,True,True,False,distance,[]
boundarymindist_intent2treat_unexplained,rdrobustnocovs,0.23807501792907715,,0.009747881340485098,0.01229250692384698,0.01229250692384698,0.008933558607341107,0.01030764860535568,0.008933558607341107,-0.0077615717836812745,0.02725733446465147,-0.00791011310794467,0.03249512695563863,-0.005216946200319393,0.029801960048013353,28,2932894963,False,False,False,boundarymindist,[]
boundarypoint,rdflex_local_linear,0.0042266845703125,Matrix is not positive definite,,,,,,,,,,,,,84,3971928550,True,True,False,boundarypoint,[]
yieldimprovement_intent2treat_explained,rdflex_stacking_lgbm,47.42764973640442,,-0.03830326579887507,-0.03881769247985555,-0.03881769247985555,0.0037998069007754063,0.0037998069007754063,0.005945190909643699,-0.04575075047260163,-0.030855781125148515,-0.050470052543972126,-0.02716533241573898,-0.04626517715358211,-0.031370207806128994,5,2395494589,False,True,False,yieldimprovement,[]
yieldimprovement_intent2treat_explained,rdflex_global_linear,1.05079984664917,,-0.044323642149486114,-0.037688589573983605,-0.037688589573983605,0.003308781564619439,0.003308781564619439,0.005008488695066232,-0.050808734848850304,-0.037838549450121925,-0.047505047033289435,-0.027872132114677775,-0.044173682273347795,-0.031203496874619416,73,2210222696,False,True,False,yieldimprovement,[]
yieldimprovement_fuzzy_explained,rdflex_local_linear,1.5185539722442627,,-0.09302003881480096,-0.10368859094298138,-0.10368859094298138,0.006831143446112579,0.006831143446112579,0.010645282304888275,-0.10640883394240845,-0.07963124368719347,-0.12455296086582393,-0.08282422102013884,-0.11707738607058887,-0.0902997958153739,99,2365828300,True,True,False,yieldimprovement,[]
boundarypoint,rdflex_lgbm,0.004393815994262695,Matrix is not positive definite,,,,,,,,,,,,,10,1959717888,True,True,False,boundarypoint,[]
yieldimprovement_intent2treat_explained,rdrobust,2.018737316131592,,-0.035171707552959876,-0.03475235813795482,-0.03475235813795482,0.0035453518669143276,0.0060733111141106225,0.0035453518669143276,-0.0421204695246338,-0.02822294558128595,-0.04665582918851847,-0.02284888708739117,-0.041701120109628745,-0.02780359616628089,67,1017245192,False,True,False,yieldimprovement,[]
