setting,method,duration,error,coef_conventional,coef_robust,coef_bias_corrected,se_conventional,se_robust,se_bias_corrected,ci_0025_conventional,ci_0025_robust,ci_0025_bias_corrected,rep,rep_seed,setting_param_fuzzy,setting_data_remove_unexplained,setting_data_subrule,setting_data_score,setting_data_covariates,ci_0975_conventional,ci_0975_robust,ci_0975_bias_corrected
distance_fuzzy_explained,rdflex_global_linear,0.6780681610107422,,0.0742353369285882,0.0743764046869967,0.0743764046869967,0.05113121921341472,0.05113121921341472,0.0564880973795842,-0.025980011215327087,-0.03633823173217973,-0.02583894345691859,83,2328904255,True,True,False,distance,[],0.1744506850725035,0.18509104110617314,0.174591752830912
boundarymindist_fuzzy_unexplained,rdflex_stacking_lgbm,20.15839648246765,,0.1917073653816171,0.17979625283115364,0.17979625283115364,0.08686761314352603,0.08686761314352603,0.0951048836966748,0.021449972197347844,-0.006605893968199522,0.00953885964688439,47,1940935336,True,False,False,boundarymindist,[],0.36196475856588634,0.3661983996305068,0.3500536460154229
boundarypoint,oracle_kernel,2.1995902061462402,,0.07385867004060921,,,,,,,,,19,65668574,True,True,False,boundarypoint,[],,,
distance_intent2treat_explained,rdrobustnocovs,0.029747724533081055,,0.07522751519003557,0.070102868243753,0.070102868243753,0.03940169654862907,0.04786642001897575,0.03940169654862907,-0.0019983909750535683,-0.023713591062306527,-0.007123037921336131,27,4285362377,False,True,False,distance,[],0.15245342135512469,0.16391932754981253,0.14732877440884212
boundarymindist_fuzzy_unexplained,rdrobust,0.09600281715393066,,0.2501412600885964,0.26460773597011844,0.26460773597011844,0.04462832483956743,0.048527990802095605,0.04462832483956743,0.16267135071268993,0.16949462175592006,0.17713782659421198,1,3629568596,True,False,False,boundarymindist,[],0.33761116946450287,0.3597208501843168,0.3520776453460249
boundarymindist_intent2treat_unexplained,rdflex_stacking_lgbm,11.164247989654541,,0.09945587798007045,0.08130012212173769,0.08130012212173769,0.04491019990044348,0.04491019990044348,0.05168795687124812,0.011433503636706907,-0.020006411780368244,-0.0067222522216258546,47,1940935336,False,False,False,boundarymindist,[],0.187478252323434,0.18260665602384363,0.16932249646510122
yieldimprovement_intent2treat_explained_subrule,rdflex_lgbm,0.0017125606536865234,Matrix is not positive definite,,,,,,,,,,82,2879715912,False,True,True,yieldimprovement,[],,,
boundarymindist_fuzzy_unexplained,rdrobust,0.0930030345916748,,-0.06049966066513194,-0.12339567978343788,-0.12339567978343788,0.07825228401895933,0.09067276196849149,0.07825228401895933,-0.21387131905029144,-0.30111102762045433,-0.2767673381685974,12,3931054374,True,False,False,boundarymindist,[],0.09287199772002758,0.054319668053578574,0.02997597860172163
boundarymindist_intent2treat_explained,oracle_kernel,1.8850481510162354,,0.09768178617296476,,,,,,,,,49,3950406464,False,True,False,boundarymindist,[],,,
yieldimprovement_fuzzy_explained,rdflex_global_linear,0.5793228149414062,,0.10917622633718672,0.07635019341182869,0.07635019341182869,0.07251716190318624,0.07251716190318624,0.08439687895742833,-0.032954799254118386,-0.08906464975231718,-0.06578083217947642,3,691374161,True,True,False,yieldimprovement,[],0.25130725192849185,0.24176503657597456,0.2184812190031338
yieldimprovement_intent2treat_explained,rdflex_local_linear,0.46293210983276367,,0.18181494753261743,0.19345687890055324,0.19345687890055324,0.047439948188243784,0.047439948188243784,0.0546231402454245,0.08883435765521343,0.08639749129704086,0.10047628902314924,93,736000891,False,True,False,yieldimprovement,[],0.27479553741002144,0.3005162665040656,0.2864374687779572
distance_intent2treat_explained_subrule,rdrobustnocovs,0.0020647048950195312,Matrix is not positive definite,,,,,,,,,,36,2091329539,False,True,True,distance,[],,,
distance_intent2treat_explained,rdrobust,0.09508419036865234,,0.15084643891448718,0.16113359002584912,0.16113359002584912,0.02808060830361027,0.031303203508509896,0.02808060830361027,0.09580945797543466,0.09978043854844187,0.1060966090867966,15,2625698656,False,True,False,distance,[],0.2058834198535397,0.22248674150325637,0.21617057096490164
distance_intent2treat_explained_subrule,rdflex_local_linear,0.0018315315246582031,Matrix is not positive definite,,,,,,,,,,47,1940935336,False,True,True,distance,[],,,
yieldimprovement_intent2treat_explained,rdflex_global_linear,0.5304059982299805,,0.08903259046571504,0.07834556368226148,0.07834556368226148,0.04904079934606366,0.04904079934606366,0.05770626739785556,-0.007085610025625161,-0.03475664209977332,-0.01777263680907873,64,3353729596,False,True,False,yieldimprovement,[],0.18515079095705525,0.19144776946429626,0.17446376417360168
boundarypoint,rdrobustnocovs,0.02446889877319336,,-0.0986747383155421,-0.11573769670006614,-0.11573769670006614,0.2989979346618303,0.3461654153693084,0.2989979346618303,-0.6846999217045897,-0.7942094435172588,-0.7017628800891138,51,3500072816,True,True,False,boundarypoint,[],0.48735044507350556,0.5627340501171264,0.47028748668898146
